ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.2.0-dev,True,user,user.changes.name,keyword,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.changes.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.effective.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.2.0-dev,True,user,user.effective.name,keyword,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.effective.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.2.0-dev,True,user,user.name,keyword,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.target.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.2.0-dev,True,user,user.target.name,keyword,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,user,user.target.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
